"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2057","REG-031: Verify SQL injection in name fields is sanitized","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","3460","REG-007: Verify valid name format passes validation","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","3583","REG-004: Verify digits-only first name shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1768","REG-024: Verify matching passwords pass confirm check","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1132","REG-028: Verify all fields empty shows all validation errors simultaneously","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1761","REG-025: Verify non-matching confirm password shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1520","REG-012: Verify email with no @ symbol is rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1818","REG-018: Verify DOB making user under 18 is rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2225","REG-005: Verify empty last name shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","6596","REG-032: Verify XSS in email field does not execute","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","6018","REG-001: Verify successful registration with all valid inputs","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1888","REG-019: Verify strong password with all requirements passes","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","4016","REG-003: Verify single-char first name shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2925","REG-008: Verify valid email format passes validation","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","9577","REG-010: Verify email with no TLD is rejected [WILL FAIL — BUG-A]","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1034","REG-016: Verify phone maxlength=10 enforced by browser via pressSequentially","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1291","REG-014: Verify phone under 10 digits is rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2451","REG-023: Verify live password strength indicator updates on each keystroke","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","4104","REG-002: Verify empty first name shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1519","REG-027: Verify checked Terms of Service allows submission","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2818","REG-030: Verify special characters in name field are rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1500","REG-017: Verify DOB making user exactly 18 passes age gate","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2203","REG-006: Verify single-char last name shows error","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","10156","REG-009: Verify email with no domain is rejected [WILL FAIL — BUG-A]","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2133","REG-033: Verify XSS in name fields does not execute","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","9965","REG-011: Verify @ symbol only is rejected [WILL FAIL — BUG-A]","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","2844","REG-022: Verify too-short password is rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1604","REG-015: Verify letters in phone field are rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1344","REG-029: Verify whitespace-only first name is rejected","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","1274","REG-013: Verify valid 10-digit mobile passes validation","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","7669","REG-020: Verify all-lowercase password is rejected [WILL FAIL — BUG-B]","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","696","authenticate","setup","2026-06-12","passed","2026-06-12","","setup\auth.setup.ts","",""
"","5948","REG-026: Verify unchecked Terms of Service blocks submission","chromium","2026-06-12","passed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
"","9066","REG-021: Verify all-uppercase password is rejected [WILL FAIL — BUG-B]","chromium","2026-06-12","failed","2026-06-12","Registration Page Tests (SCRUM-142)","ui\registration.spec.ts","",""
